metric,metricType,metricDisplayName,metricExplanatory,parentKPI,Category,SunburstCode,SunburstWeight,normalBottom,normalTop,lowBottom,lowTop,midBottom,midTop,highBottom,highTop
QoE,KXI,Quality of Experience,This  KXI is a calculated value based on all of the other KPIs that indicates overall quality of experience (Service and Network) of the chosen context,CEI,Overview,,,95,100,90,94,75,89,0,74
CEI,KXI,Customer Experience Index,"This KXI is a calculated value based on the combination of the QOE with other customer attributes such as Billing, Complaints and Service Centre Contact.  It is updated daily.",None,Overview,,,,,,,,,,
averageAudioMosDl,KPI,Audio MOS Down (#),"This KPI indicates the Average Audio MOS Downlink on a range of 1-5.   It is a measure of voice quality which is used as a way to assess the human users opinion of call quality. The score reports on three different factors: Listening Quality, Transmission Quality, Conversational Quality.  5 is representing the highest customer experience.",QOE,Integrity,,,2.5,5,1.25,2.4,0.5,1.25,0,0.5
averageHttpThroughputPerUserDl,KPI,Throughput DL (mbps),This KPI indicates  average HTTP download throughput per user.   High throughput can cause a capacity problem and low throughput can indicate a latency problem and degrading customer experience.,QOE,Integrity,,,3000,6000,1500,2999,600,1499,0,599
averageHttpThroughputPerUserUl,KPI,Throughput UL (mbps),This KPI indicates  average HTTP upload throughput per user.  Low throughput can cause a capacity problem and low throughput can indicate a latency problem and degrading customer experience.,QOE,Integrity,,,3000,6000,1500,2999,600,1499,0,599
averageJitterDl,KPI,Jitter DL (ms),"This KPI indicates the variation of time taken to download data packets.  The higher the variation, the lower the customer experience impacts.  ",QOE,Integrity,,,,,,,,,,
averageJitterUl,KPI,Jitter UL (ms),"This KPI indicates the variation of time taken to upload data packets.  The higher the variation, the lower the customer experience impacts.  ",QOE,Integrity,,,,,,,,,,
averageStallCount,KPI,Stall count (#),This KPI measures the average number of stalls which occurred during the video playout. The value in this KPI is for the period in which the data source generates the report (For e.g. reports generated every 15 mins). The sum total of all stalls at the end of the video stream duration gives the overall stall count.,QOE,Integrity,,,0,1,2,4,5,9,10,20
averageStallTime,KPI,Stall Time (s),,QOE,Integrity,,,,,,,,,,
averageVideoMosDl,KPI,Video MOS DL (#),"This KPI indicates the Average Video MOS Downlink on a range of 1-5.   It is a measure of voice quality which is used as a way to assess the human users opinion of video quality. The score reports on three different factors: Listening Quality, Transmission Quality, Viewing Quality.  5 is representing the highest customer experience.",QOE,Integrity,,,2.5,5,1.25,2.4,0.5,1.25,0,0.5
csDropCallRate,KPI,CS Dropped Calls (%),This KPI measures the percentage of calls that dropped during the connection (eg dropped),QOE,Integrity,,,,,,,,,,
csImsiAttachFailRate,KPI,CS Attachment Failure Rate (%),This KPI is the percentage attach success rate for calls across the network.  This usually indicates network coverage and lower customer experience issues if low.,QOE,Integrity,,,,,,,,,,
csLocationUpdateFailRate,KPI,CS GPS Failure Rate (%),This KPI is the percentage of gps update events that failed (gps coverage),QOE,Integrity,,,,,,,,,,
