QoE,KXI,Quality of Experience,This  KXI is a calculated value based on all of the other KPIs that indicates overall quality of experience (Service and Network) of the chosen context,CEI
CEI,KXI,Customer Experience Index,"This KXI is a calculated value based on the combination of the QOE with other customer attributes such as Billing, Complaints and Service Centre Contact.  It is updated daily.",None
averageAudioMosDl,KPI,Audio MOS Down (#),"This KPI indicates the Average Audio MOS Downlink on a range of 1-5.   It is a measure of voice quality which is used as a way to assess the human users opinion of call quality. The score reports on three different factors: Listening Quality, Transmission Quality, Conversational Quality.  5 is representing the highest customer experience.",QOE
averageHttpThroughputPerUserDl,KPI,Throughput DL (mbps),This KPI indicates  average HTTP download throughput per user.   High throughput can cause a capacity problem and low throughput can indicate a latency problem and degrading customer experience.,QOE
averageHttpThroughputPerUserUl,KPI,Throughput UL (mbps),This KPI indicates  average HTTP upload throughput per user.  Low throughput can cause a capacity problem and low throughput can indicate a latency problem and degrading customer experience.,QOE
averageJitterDl,KPI,Jitter DL (ms),"This KPI indicates the variation of time taken to download data packets.  The higher the variation, the lower the customer experience impacts.  ",QOE
averageJitterUl,KPI,Jitter UL (ms),"This KPI indicates the variation of time taken to upload data packets.  The higher the variation, the lower the customer experience impacts.  ",QOE
averageStallCount,KPI,Stall count (#),This KPI measures the average number of stalls which occurred during the video playout. The value in this KPI is for the period in which the data source generates the report (For e.g. reports generated every 15 mins). The sum total of all stalls at the end of the video stream duration gives the overall stall count.,QOE
averageStallTime,KPI,Stall Time (s),,QOE
averageVideoMosDl,KPI,Video MOS DL (#),"This KPI indicates the Average Video MOS Downlink on a range of 1-5.   It is a measure of voice quality which is used as a way to assess the human users opinion of video quality. The score reports on three different factors: Listening Quality, Transmission Quality, Viewing Quality.  5 is representing the highest customer experience.",QOE
csDropCallRate,KPI,CS Dropped Calls (%),This KPI measures the percentage of calls that dropped during the connection (eg dropped),QOE
csImsiAttachFailRate,KPI,CS Attachment Failure Rate (%),This KPI is the percentage attach success rate for calls across the network.  This usually indicates network coverage and lower customer experience issues if low.,QOE
csLocationUpdateFailRate,KPI,CS GPS Failure Rate (%),This KPI is the percentage of gps update events that failed (gps coverage),QOE
csMos,KPI,CS MOS (#),"This KPI indicates the Average Circuit Switch MOS on a range of 1-5.   It is a measure of customer opinion, with 5 representing the highest customer experience.",QOE
stallTimeRate,KPI,Video Stall Time Rate (%),Percentage of time for which the video stalled of the total stream duration ,QOE
tcpPacketLossRate,KPI,Data Packet Loss Rate (%),"This KPI indicates the packet loss rate which is a measure of the link integrity and is defined as the fraction of the total transmitted packets that did not arrive at the receiver.
",QOE
tcpPacketRetransmissionRateDl,KPI,Data Packet Retransmission Rate DL (%),This KPI refers to the rate of retransmitted packets as observed on the core network for TCP or UDP connection during the download of content from the external PDN. ,QOE
tcpPacketRetransmissionRateUl,KPI,Data Packet Retransmission Rate UL (%),This KPI refers to the rate of retransmitted packets as observed on the core network for a TCP or UDP connection during the upload of content from the external PDN,QOE
voLteDropCallRate,KPI,vOLTE Dropped Calls (%),This KPI measures the percentage of calls that dropped during the connection (eg dropped),QOE
voLteMos,KPI,voLTE MOS (#),"This KPI indicates the Average VOLTE MOS on a range of 1-5.   It is a measure of customer opinion, with 5 representing the highest customer experience.",QOE
psHoDelay,KPI,PS Handover Delay (ms),This KPI indicates delay experienced when handing over between technologies or cells.,QOE
psHoSuccessRate,KPI,PS Handover Success Rate (%),This KPI indicates the percentage of handover requests that were successful.  Handover requests are when a subscriber moves around the network and changes from cell to technology,QOE
psRauDelay,KPI,Routing Area Update Delay (s),"When roaming, this KPI indicates is the delay in updates to routing areas ",QOE
psRauSuccessRate,KPI,Routing Area Update Success Rate (%),"When roaming, this KPI represents the percentage of successful routing access updates",QOE
psTauDelay,KPI,Tracking Area Update Delay (s),"When roaming, this is the delay in updates to Tracking Area",QOE
psTauSuccessRate,KPI,Tracking Area Update Success Rate (%),"When roaming, this is the percentage of successful tracking access updates",QOE
psAttachDelay,KPI,PS Attachnent Delay (ms),"This KPI is the average time taken for a call to be connected to the packet switch network.  The higher the time taken, the lower the customer experience.",QOE
psAttachSuccessRate,KPI,PS Attachment Success Rate (%),This KPI is the percentage attach success rate for calls across the packet switch network.  This usually indicates network coverage and lower customer experience issues if low.,QOE
psInitialContextSetupDelay,KPI,PS Initial Context Setup Delay (ms),This KPI indicates the delay experienced when initially setting up context on network connection (like obtaining IP address),QOE
psInitialContextSetupSuccessRate,KPI,PS Initial Context Setup Success Rate (%),This KPI indicates the success rate of setting up context on network connection (like obtaining IP address),QOE
psPdpContextActivationDelay,KPI,Pdp Context Activation Delay,This KPI indicates the delay experienced when initially setting up context on network connection (like obtaining IP address),QOE
psPdpContextActivationSuccessRate,KPI,Pdp Context Activation SuccessRate,This KPI indicates the success rate of setting up context on network connection (like obtaining IP address),QOE
psS1mmeDedicatedEpsBearerContextActivationDelay,KPI,Dedicated Bearer Context Activation Delay (ms),Delay experienced when initially setting up context on network connection (like obtaining IP address),QOE
psS1mmeDedicatedEpsBearerContextActivationSuccessRate,KPI,Dedicated Bearer Context Activation Success Rate (%),Percentage of context setup requests that were successful,QOE
psS1mmeDefaultEpsBearerContextActivationDelay,KPI,Default Bearer Context Activation Delay (ms),Delay experienced when initially setting up context on network connection (like obtaining IP address),QOE
psS1mmeDefaultEpsBearerContextActivationSuccessRate,KPI,Default Bearer Context Activation Success Rate (%),Percentage of context setup requests that were successful,QOE
psS1mmeServiceRequestDelay,KPI,VOLTE Service Reqeust Delay (ms),Data request delay in Volte network,QOE
psS1mmeServiceRequestSuccessRate,KPI,VOLTE Service Request Success Rate (%),Data request success rate in Volte network  ,QOE
averageApplicationResponseTime,KPI,Application Response Time (s),"This KPI indicates the speed of access to a webpage/application accessed.  It is the delay from the moment the user requests the service and the moment the user sees the first web page content.  The lower the value the better the customer experience. HTTP access time, or the delay from the moment the user requests the desired web page and the moment the user sees the first web page content.",QOE
averageTimeToStart,KPI,Time to Start (s),This KPI measures the average time of the server response to a playback request from the client i.e. the time taken for a video to start playing post the user initiation or in case of a auto play video then it is the time taken for the video to start.,QOE
csAverageCallSetupDelay,KPI,CS Call Connect Delay (ms),"This KPI is the average time taken for a call to be connected to the dialled number.  The higher the time taken, the lower the customer experience.",QOE
csCallSetupFailRate,KPI,CS Blocked Calls (%),This KPI measures the percentage of calls that failed to be setup (eg blocked),QOE
httpResponseFailRate,KPI,Web (HTTP) Response Fail Rate (%),"
This KPI indicates  the availability of a webpage or application accessed by a subscriber. 

",QOE
voLteCallSetupFailRate,KPI,voLTE Blocked Calls (%),This KPI indicates the number of calls blocked before the connected to the dialled number,QOE
voLteConnectionDelay,KPI,voLTE Connection Delay (ms),This KPI indicates the delay experience before a call is connected to the dialled number.,QOE
voLteRegistrationFailRate,KPI,voLte Registration Fail (%),This KPI represents the percentage of failed registrations on volte,QOE
voLteSrvccFailRate,KPI,voLte Srvcc Fail (%),This KPI represents the percentage of SRVCC requests that failed.,QOE
tcpVolumeDl,KPI,Data Volume Download (mb),This KPI refers to total number of transmitted  packets as observed on the core network for TCP or UDP connection during the download of content from the external PDN,QOE
tcpVolumeUl,KPI,Data Volume Upload (mb),This KPI refers to total number of transmitted packets as observed on the core network for a TCP or UDP connection during the upload of content from the external PDN,QOE
sessionsPerAudioMosClass,counter,Sessions Per Audio Mos Class,Number of sessions in each MOS bucket (1-5),averageAudioMosDl
usersPerAudioMosClass,counter,Users Per Audio Mos Class,Number of users in each MOS bucket (1-5),averageAudioMosDl
usersDataSessions,counter,Users Data Sessions,Number of users Data Sessions,averageAudioMosDl
dataSessions,counter,Data Sessions,Number of data Sessions,averageAudioMosDl
successfulHttpResponses,counter,Successful HTTP Responses,Number of successful HTTP Responses,averageHttpThroughputPerUserDl
usersHttpThroughputDlThresholdViolation,counter,Users HTTP Throughput Dl Threshold Violation,Number of users HTTP Throughput Dl Threshold Violation,averageHttpThroughputPerUserDl
usersHttpResponses,counter,Users HTTP Responses,Number of users HTTP Responses,averageHttpThroughputPerUserDl
httpResponsesWithThroughputDlThresholdViolation,counter,HTTP Responses With Throughput Dl Threshold Violation,Number of HTTP Responses With Throughput Dl Threshold Violation,averageHttpThroughputPerUserDl
httpRequests,counter,HTTP Requests,Number of HTTP Requests,averageHttpThroughputPerUserDl
httpResponsesPerThroughputDl,counter,HTTP Responses Per Throughput Dl,Number of HTTP Responses Per Throughput Dl,averageHttpThroughputPerUserDl
usersHttpResponsesPerThroughputDl,counter,Users HTTP Responses Per Throughput Dl,Number of users HTTP Responses Per Throughput Dl,averageHttpThroughputPerUserDl
usersHttpRequests,counter,Users HTTP Requests,Number of users HTTP Requests,averageHttpThroughputPerUserDl
httpResponses,counter,HTTP Responses,Number of HTTP Responses,averageHttpThroughputPerUserDl
usersSuccessfulHttpResponses,counter,Users Successful HTTP Responses,Number of users Successful HTTP Responses,averageHttpThroughputPerUserDl
usersHttpResponsesPerThroughputUl,counter,Users HTTP Responses Per Throughput Ul,Number of users HTTP Responses Per Throughput Ul,averageHttpThroughputPerUserUl
httpResponsesPerThroughputUl,counter,HTTP Responses Per Throughput Ul,Number of HTTP Responses Per Throughput Ul,averageHttpThroughputPerUserUl
usersHttpThroughputUlThresholdViolation,counter,Users HTTP Throughput Ul Threshold Violation,Number of users HTTP Throughput Ul Threshold Violation,averageHttpThroughputPerUserUl
